,"[0,1]","[0,4]","[1,2]","[1,3]","[1,4]","[2,3]","[3,4]"
869,6,6,7,7,6,8,7
870,8,0,5,7,3,4,5
871,2,7,5,9,7,2,0
872,6,0,1,7,9,3,4
873,2,8,5,8,6,9,8
874,1,5,8,7,2,6,8
875,6,0,8,8,0,5,0
876,4,5,0,9,4,2,2
877,5,8,8,9,3,3,7
878,6,4,4,7,5,8,4
879,5,3,3,6,0,8,6
880,7,3,9,9,7,7,7
881,1,3,6,9,1,2,2
882,6,9,1,8,7,2,2
883,3,2,3,7,4,1,4
884,0,4,9,6,1,4,1
885,8,8,4,6,4,3,2
886,3,3,7,8,0,0,0
887,6,4,6,6,5,9,0
888,7,1,6,8,8,4,1
889,0,7,0,7,7,3,8
890,7,1,3,7,2,8,3
891,2,7,1,9,4,4,8
892,0,0,0,7,8,7,3
893,6,2,4,8,4,9,1
894,7,1,8,6,6,8,1
895,7,4,5,9,6,5,0
896,7,0,8,9,6,9,1
897,6,2,2,7,7,5,8
898,6,4,9,8,7,5,8
899,1,2,9,6,9,2,0
900,9,4,3,7,3,1,2
901,7,7,2,6,8,7,7
902,1,5,6,9,0,5,5
903,3,7,3,6,7,8,6
904,6,4,0,8,6,9,4
905,1,1,9,9,2,1,5
906,8,7,8,6,5,3,6
907,6,9,7,8,3,0,0
908,4,1,7,8,7,2,6
909,0,0,0,8,8,7,0
910,0,5,2,6,8,1,8
911,1,7,8,8,0,5,3
912,2,3,8,7,3,2,9
913,1,0,2,7,6,4,9
914,2,1,7,8,6,4,7
915,7,3,6,9,8,3,5
916,2,6,2,6,6,7,2
917,9,7,0,8,0,8,0
918,3,6,7,8,7,5,2
919,8,3,0,6,7,2,9
920,4,4,0,9,4,6,2
921,5,7,2,8,4,5,0
922,2,4,8,8,4,4,7
923,2,1,8,9,5,4,9
924,4,7,9,8,5,1,7
925,7,8,1,9,8,9,4
926,1,5,5,6,5,3,7
927,7,2,8,9,2,0,1
928,7,0,7,9,5,7,2
929,9,7,2,8,1,9,1
930,4,8,0,9,3,2,3
931,5,3,8,7,9,0,5
932,7,2,3,7,8,4,2
933,8,8,6,6,6,2,7
934,3,9,3,6,7,5,7
935,4,7,2,7,0,6,0
936,9,2,4,9,1,5,2
937,3,9,0,8,1,3,6
938,0,4,0,9,4,2,2
939,9,9,3,6,4,8,3
940,2,1,0,9,8,1,4
941,8,7,6,9,9,1,0
942,7,1,0,6,5,0,8
943,8,9,0,6,9,5,5
944,5,6,8,9,0,0,4
945,4,0,4,7,0,9,5
946,2,4,0,9,1,0,2
947,8,9,8,9,0,9,2
948,3,5,3,9,6,8,2
949,8,0,8,6,4,2,8
950,3,8,2,7,0,6,2
951,8,7,6,6,5,1,6
952,2,9,7,7,1,2,3
953,6,1,6,6,2,4,0
954,4,5,1,7,3,5,5
955,1,0,7,6,5,6,7
956,0,4,5,7,4,7,6
957,8,5,2,7,7,7,0
958,0,3,0,8,2,3,2
959,7,1,0,6,7,1,3
960,3,1,3,8,7,8,2
961,4,4,6,9,8,1,5
962,3,1,7,6,1,6,1
963,8,6,8,7,6,5,6
964,0,6,8,6,9,4,9
965,7,3,7,6,2,0,6
966,7,3,8,6,2,5,5
967,4,4,5,6,4,0,9
968,5,9,6,6,5,3,2
969,2,8,3,6,4,9,2
970,4,0,9,6,7,5,5
971,1,8,0,8,5,2,8
972,6,3,0,7,2,2,5
973,0,8,4,7,8,1,9
974,7,4,4,8,2,5,1
975,2,9,0,9,6,7,4
976,9,3,9,9,3,0,5
977,0,0,3,6,2,4,1
978,7,1,8,8,2,1,4
979,5,7,5,6,9,6,3
980,1,8,2,9,0,6,8
981,1,2,1,8,9,1,9
982,7,3,4,6,7,4,8
983,8,0,6,7,2,9,1
984,9,6,2,8,0,2,5
985,2,1,6,9,7,9,9
986,6,9,6,8,8,8,1
987,5,8,5,7,0,6,6
988,2,9,6,6,4,1,4
989,6,4,5,7,0,9,8
990,9,0,9,6,6,3,3
991,8,4,9,6,9,4,2
992,6,8,0,8,8,7,2
993,6,8,5,8,8,8,5
994,8,4,2,6,9,2,5
995,9,9,1,7,0,6,8
996,1,9,9,8,5,1,0
997,5,1,1,8,9,7,3
998,3,9,9,6,6,4,7
999,7,5,7,7,3,4,6
1000,4,9,6,6,6,5,1
1001,1,1,8,9,6,9,1
1002,7,5,7,7,2,6,1
1003,7,5,8,8,1,6,0
1004,0,7,5,6,4,7,3
1005,9,1,7,9,7,3,9
1006,5,6,5,9,0,4,7
1007,8,8,6,9,5,9,7
1008,8,6,9,9,7,2,9
1009,0,1,2,8,3,7,4
1010,7,1,8,7,4,8,6
1011,8,5,1,9,1,2,1
1012,7,4,1,8,5,8,0
1013,5,3,5,9,3,0,2
1014,3,5,2,9,8,9,1
1015,2,5,2,6,6,0,0
1016,7,1,5,8,9,7,6
1017,7,3,0,8,0,4,8
1018,7,0,6,6,6,1,5
1019,4,2,1,7,5,4,5
1020,4,3,3,9,3,8,2
1021,1,6,9,8,6,5,7
1022,4,9,6,6,0,3,9
1023,2,6,0,6,8,2,9
1024,0,0,2,9,1,9,7
1025,0,8,6,9,9,1,1
1026,3,9,0,8,3,8,8
1027,1,0,3,8,9,6,9
1028,8,4,0,6,9,9,3
1029,1,9,8,6,4,9,3
1030,9,6,3,6,7,5,3
1031,5,0,4,6,0,2,9
1032,3,8,3,9,1,9,2
1033,2,6,4,9,2,5,3
1034,4,0,4,7,1,3,3
1035,4,0,8,7,5,3,8
1036,4,3,0,6,0,7,4
1037,5,5,7,6,1,1,5
1038,2,5,5,9,0,1,0
1039,3,0,4,8,9,3,5
1040,4,4,2,7,4,2,2
1041,7,0,7,8,4,3,8
1042,4,8,4,9,6,7,8
1043,1,0,0,7,4,0,9
1044,3,8,6,7,9,0,8
1045,5,1,5,9,5,3,2
1046,6,1,8,6,2,3,4
1047,6,6,6,6,3,2,0
1048,6,3,8,9,5,4,5
1049,4,4,5,9,2,6,2
1050,9,1,8,9,5,7,5
1051,0,8,9,7,0,0,1
1052,9,6,3,6,1,6,8
1053,9,7,7,6,3,9,0
1054,8,5,4,9,3,3,5
1055,4,1,6,9,5,3,4
1056,9,1,9,9,0,3,4
1057,3,9,8,8,8,9,2
1058,9,0,5,8,9,1,6
1059,6,8,2,7,5,0,4
1060,6,5,5,9,1,7,2
1061,3,1,6,7,0,8,5
1062,5,7,7,9,6,0,3
1063,8,6,6,6,2,9,4
1064,5,8,7,7,9,6,6
1065,6,6,9,7,0,0,3
1066,7,1,8,8,6,8,0
1067,4,4,7,8,1,4,6
1068,0,5,2,8,6,4,0
1069,0,6,2,8,6,6,2
1070,4,2,2,6,9,4,2
1071,7,9,1,9,3,2,9
1072,0,0,8,7,2,3,0
1073,9,6,0,8,8,1,8
1074,8,1,8,7,8,2,0
1075,9,6,4,8,3,0,7
1076,8,6,6,7,9,4,3
1077,6,6,5,8,6,9,1
1078,6,3,9,9,0,0,1
1079,2,0,1,7,0,9,5
1080,1,1,3,9,0,5,7
1081,6,0,2,8,5,6,6
1082,4,9,3,8,8,4,2
1083,7,7,0,7,8,7,8
1084,5,1,9,9,6,3,4
1085,1,0,0,9,9,4,5
1086,7,1,5,7,9,4,9
1087,8,5,7,8,9,4,1
1088,8,6,1,9,7,6,6
1089,6,2,6,9,6,6,3
1090,8,6,8,9,9,2,9
1091,8,2,6,8,9,9,1
1092,1,6,1,8,3,7,4
1093,9,6,8,7,0,6,7
1094,0,1,0,9,7,8,0
1095,7,2,3,9,4,8,1
1096,3,7,4,6,4,6,4
1097,3,6,2,7,4,9,8
1098,3,1,0,8,7,1,2
1099,1,8,2,7,5,7,4
1100,8,4,7,7,2,7,5
1101,7,5,7,7,2,5,2
1102,9,4,1,9,2,3,7
1103,7,2,9,8,8,9,5
1104,9,0,3,9,5,0,1
1105,4,8,9,9,4,9,7
1106,4,5,0,7,7,0,2
1107,5,8,5,7,8,8,9
1108,0,5,8,8,2,0,2
1109,1,3,9,6,9,1,1
1110,4,2,5,6,0,1,9
1111,9,4,3,7,8,2,0
1112,6,0,6,6,8,6,7
1113,8,7,7,6,9,0,4
1114,9,6,8,7,8,8,4
1115,6,3,6,8,0,6,4
1116,6,9,8,8,6,5,4
1117,1,6,0,9,0,1,7
1118,4,6,1,6,3,5,5
1119,4,9,6,8,3,5,9
1120,2,6,3,7,8,2,1
1121,5,3,3,7,2,8,7
1122,6,9,3,7,2,7,2
1123,9,2,6,7,1,9,8
1124,1,9,4,9,3,7,1
1125,5,5,5,7,2,0,4
1126,1,0,5,9,3,8,1
1127,0,3,7,6,1,6,5
1128,9,0,3,9,0,4,2
1129,4,7,6,9,0,0,7
1130,5,3,9,7,4,2,7
1131,2,1,6,8,6,7,4
1132,4,5,2,8,5,1,3
1133,9,2,4,6,5,3,8
1134,8,7,6,9,5,0,4
1135,1,1,7,8,9,8,2
1136,7,7,2,7,8,0,1
1137,3,9,8,9,1,2,1
1138,0,8,9,7,8,1,1
1139,7,0,2,7,7,4,1
1140,0,4,4,7,6,6,3
1141,2,3,3,8,8,6,2
1142,4,0,8,8,1,7,9
1143,6,9,9,9,9,8,7
1144,7,6,7,9,4,8,7
1145,1,5,3,7,6,8,5
1146,8,8,3,8,2,6,0
1147,0,8,7,9,1,0,2
1148,6,7,8,6,9,6,2
1149,8,2,2,9,0,8,1
1150,0,0,6,6,1,0,3
1151,4,2,3,9,6,8,1
1152,8,7,8,6,4,6,3
1153,3,4,2,6,9,8,3
1154,5,4,3,6,0,0,7
1155,1,9,0,8,0,4,8
1156,0,8,6,9,6,1,9
1157,4,9,2,9,3,5,5
1158,7,7,5,6,0,6,8
1159,2,2,4,7,3,0,9
1160,3,2,4,7,9,8,7
1161,7,9,3,8,1,1,2
1162,7,1,4,7,6,2,2
1163,6,1,1,8,3,1,6
1164,9,1,0,6,8,1,8
1165,2,8,6,6,9,3,2
1166,7,6,7,8,3,7,4
1167,6,0,7,6,4,5,0
1168,6,5,4,8,6,7,7
1169,3,2,9,9,9,4,9
1170,0,4,0,9,7,5,1
1171,3,7,7,9,5,3,6
1172,4,9,6,7,4,0,0
1173,0,5,8,9,3,8,7
1174,6,8,2,9,2,1,6
1175,3,8,0,8,0,2,9
1176,1,3,0,6,3,4,6
1177,0,7,9,9,1,7,1
1178,9,5,1,8,0,1,2
1179,9,8,8,8,4,0,9
1180,1,4,0,8,4,1,2
1181,8,5,5,7,9,5,1
1182,7,9,6,6,7,7,3
1183,9,5,1,6,9,9,3
1184,8,2,6,7,9,6,4
1185,6,2,2,7,7,3,6
1186,7,4,0,8,7,3,1
1187,7,4,7,8,2,5,5
1188,3,5,9,6,9,6,0
1189,2,1,9,7,6,8,6
1190,9,3,8,6,5,5,7
1191,1,0,1,9,6,4,0
1192,4,8,5,6,6,6,0
1193,5,7,1,7,5,4,2
1194,2,6,0,8,9,3,4
1195,1,6,9,7,7,2,2
1196,3,1,4,6,1,6,6
1197,9,9,7,6,0,1,9
1198,4,7,6,9,2,3,7
1199,5,6,8,9,9,3,3
1200,1,0,9,7,6,6,1
1201,2,2,1,9,4,2,5
1202,3,7,7,7,9,6,2
1203,4,1,2,8,5,4,9
1204,2,3,5,6,6,0,0
1205,5,9,8,9,8,1,5
1206,4,4,9,8,4,3,7
1207,8,8,3,9,6,2,8
1208,3,1,0,8,7,6,6
1209,5,2,3,7,0,3,2
1210,5,5,6,6,4,6,0
1211,0,4,4,7,4,0,6
1212,7,8,6,7,4,7,3
1213,1,4,1,7,5,6,9
1214,6,9,3,6,2,3,8
1215,2,5,8,8,5,7,8
1216,2,7,2,9,6,8,5
1217,4,0,9,8,8,4,9
1218,7,3,4,7,4,9,2
1219,2,9,5,6,6,0,1
1220,9,5,0,9,0,8,8
1221,2,5,0,6,6,8,9
1222,3,6,8,8,5,8,6
1223,6,2,4,9,3,8,7
1224,0,1,0,9,6,9,9
1225,7,7,3,7,5,7,6
1226,9,7,2,9,8,8,6
1227,6,7,4,8,4,7,8
1228,0,2,4,6,4,7,7
1229,8,9,3,7,0,3,0
1230,4,2,2,8,1,5,2
1231,6,3,5,8,4,1,0
1232,8,7,6,6,6,6,5
1233,5,1,1,9,6,5,8
1234,2,4,6,8,9,5,5
1235,9,9,4,9,5,0,0
1236,7,7,2,6,8,0,0
1237,2,1,2,7,0,4,2
1238,1,1,9,6,3,8,7
1239,4,3,6,6,8,2,2
1240,8,1,5,9,4,1,2
1241,4,5,5,9,5,9,3
1242,0,1,7,7,3,4,5
1243,4,8,5,6,5,4,9
1244,0,5,8,8,8,2,8
1245,6,4,3,7,4,1,6
1246,7,0,7,6,4,0,8
1247,0,1,7,8,5,3,0
1248,5,9,9,7,9,3,3
1249,5,1,6,7,5,1,3
1250,0,0,6,8,9,1,9
1251,0,6,1,6,5,5,2
1252,1,4,5,6,2,2,8
1253,9,7,0,9,0,1,6
1254,2,2,5,6,0,4,6
1255,0,4,8,8,6,1,2
1256,6,5,2,6,6,1,9
1257,0,8,2,7,5,0,9
1258,2,4,8,7,9,6,2
1259,1,9,2,6,7,7,4
1260,2,2,5,7,2,7,9
1261,6,2,2,8,9,5,6
1262,8,9,2,8,3,7,4
1263,7,5,4,8,8,6,0
1264,1,7,2,8,2,8,9
1265,8,5,3,8,8,4,4
1266,8,4,1,6,7,3,6
1267,2,7,2,8,9,1,1
1268,6,4,0,9,5,8,7
1269,4,7,4,8,2,3,4
1270,8,6,9,6,6,3,6
1271,2,9,1,6,8,7,6
1272,8,8,3,6,4,1,6
1273,7,4,9,8,7,2,6
1274,5,3,7,6,0,6,1
1275,8,2,5,9,4,6,4
1276,2,2,5,9,7,0,7
1277,3,8,1,6,3,4,7
1278,7,1,9,6,8,4,0
1279,6,5,5,8,6,2,5
1280,6,6,4,7,7,6,3
1281,9,4,3,6,7,2,3
1282,9,4,4,6,9,1,1
1283,6,8,6,6,9,9,4
1284,2,5,0,9,9,7,5
1285,4,5,5,7,2,7,9
1286,1,4,2,8,9,7,3
1287,9,1,3,8,7,1,7
1288,3,7,0,6,3,6,7
1289,0,2,7,8,4,5,2
1290,3,2,5,9,5,2,1
1291,8,3,3,7,8,0,6
1292,7,0,2,6,8,3,6
1293,8,6,2,9,9,0,2
1294,5,4,9,6,0,7,1
1295,6,7,4,9,5,7,9
1296,5,4,2,9,9,6,4
1297,9,3,2,9,1,9,9
1298,2,9,9,9,5,1,5
1299,2,7,2,9,8,7,9
1300,8,7,8,8,3,0,9
1301,0,2,9,9,2,3,6
1302,3,4,5,7,8,6,6
1303,1,9,2,6,0,5,8
1304,0,3,6,6,0,4,1
1305,6,9,4,7,8,5,2
1306,7,2,6,6,2,0,4
1307,6,6,9,7,2,5,2
1308,2,1,0,9,8,0,3
1309,1,9,3,8,4,0,8
1310,4,8,0,7,9,6,9
1311,8,3,3,7,3,8,1
1312,6,7,2,8,8,0,8
1313,0,6,6,6,9,9,9
1314,9,9,0,9,2,2,8
1315,2,1,7,8,0,9,1
1316,9,7,3,8,8,7,8
1317,9,3,0,6,1,6,7
1318,9,3,0,9,2,8,9
1319,6,3,6,6,5,8,6
1320,8,4,8,8,8,8,9
1321,1,9,1,7,8,6,9
1322,6,0,5,9,4,9,9
1323,3,5,5,9,8,9,9
1324,7,2,6,8,3,9,6
1325,9,0,6,9,1,6,6
1326,6,8,6,8,6,7,9
1327,5,7,8,8,2,1,6
1328,7,3,3,6,0,7,6
1329,7,6,6,9,9,4,0
1330,5,9,3,8,6,8,7
1331,5,4,6,9,2,4,3
1332,4,3,7,6,3,2,1
1333,9,4,5,6,7,2,3
1334,6,0,9,9,7,2,1
1335,2,4,3,8,7,5,5
1336,1,9,9,9,9,1,0
1337,1,7,2,7,5,8,9
1338,6,9,3,7,0,8,6
1339,8,8,3,8,9,2,8
1340,3,7,7,6,1,5,9
1341,0,0,5,9,9,1,7
1342,6,0,5,9,8,1,9
1343,7,7,6,6,5,4,9
1344,3,6,2,6,8,8,6
1345,8,3,0,9,4,9,9
1346,6,1,4,8,2,9,2
1347,2,0,9,7,2,2,5
1348,5,1,0,8,1,0,7
1349,4,7,4,9,5,6,2
1350,6,7,9,6,2,5,6
1351,9,0,5,8,4,7,1
1352,2,8,3,9,0,0,3
1353,6,3,1,7,4,8,7
1354,1,5,2,9,3,6,8
1355,0,9,8,9,0,0,8
1356,6,6,1,6,1,3,8
1357,9,9,6,6,5,2,3
1358,5,9,7,7,4,2,1
1359,3,7,8,9,5,5,7
1360,7,8,7,9,3,6,6
1361,6,5,7,6,1,8,9
1362,6,2,0,8,6,8,7
1363,4,8,0,8,9,3,5
1364,8,1,1,8,3,8,0
1365,3,9,6,9,7,3,3
1366,6,5,3,8,8,6,8
1367,7,4,4,7,2,0,6
1368,5,8,4,6,0,1,9
1369,6,2,5,6,7,0,1
1370,7,8,4,8,4,7,4
1371,2,5,7,9,8,6,3
1372,7,7,2,6,0,5,9
1373,5,3,8,7,8,6,7
1374,9,6,2,9,9,7,7
1375,7,8,4,9,9,6,5
1376,6,9,2,6,8,0,3
1377,9,6,9,9,7,3,6
1378,9,1,5,8,8,6,5
1379,5,1,4,8,7,3,7
1380,7,1,4,6,6,0,4
1381,0,3,6,7,0,1,3
1382,2,3,8,8,3,2,5
1383,4,5,5,6,5,5,3
1384,7,0,3,9,4,1,4
1385,9,2,3,6,0,7,6
1386,0,3,1,6,4,8,2
1387,9,6,3,9,5,7,7
1388,6,7,5,9,9,9,6
1389,4,5,0,7,3,4,7
1390,1,2,1,9,4,3,4
1391,6,2,4,6,5,2,5
1392,9,8,8,6,0,6,5
1393,6,8,7,6,5,9,7
1394,1,0,2,6,6,8,6
1395,1,4,3,9,5,3,6
1396,3,5,1,8,2,5,1
1397,8,3,1,9,5,9,4
1398,0,0,9,8,4,8,1
1399,3,9,1,7,3,6,8
1400,8,9,4,7,9,3,4
1401,1,6,3,8,0,1,2
1402,0,9,3,7,9,8,3
1403,5,4,9,9,7,0,8
1404,0,7,9,6,2,6,0
1405,4,6,1,8,8,4,5
1406,2,8,9,9,0,7,5
1407,7,1,5,9,0,9,9
1408,9,7,6,9,2,0,6
1409,3,9,5,8,9,9,1
1410,6,4,9,8,6,0,7
1411,2,3,2,8,7,3,1
1412,2,5,9,9,9,9,8
1413,1,3,7,7,5,6,9
1414,8,2,9,7,8,1,3
1415,8,4,3,8,1,3,5
1416,6,7,8,7,2,3,9
1417,3,7,7,6,9,4,1
1418,5,4,0,6,3,9,3
1419,7,0,1,6,5,0,5
1420,3,7,5,6,1,4,0
1421,8,7,4,9,1,6,0
1422,5,9,6,6,6,8,8
1423,8,8,9,7,4,0,7
1424,1,7,7,7,7,2,3
1425,1,3,3,6,7,4,3
1426,8,4,6,8,6,8,2
1427,8,1,0,9,4,0,4
1428,9,3,3,7,8,0,6
1429,9,5,1,7,2,4,2
1430,5,6,8,9,8,1,2
1431,5,4,0,6,8,7,4
1432,1,9,1,8,1,5,9
1433,0,9,7,7,1,3,1
1434,6,3,8,8,8,6,2
1435,0,9,7,8,1,8,6
1436,9,6,2,6,3,1,8
1437,0,2,8,8,7,0,9
1438,9,8,0,8,8,1,0
1439,7,3,3,6,4,4,9
1440,8,7,0,7,9,6,6
1441,5,1,1,9,9,7,2
1442,0,4,4,9,0,9,5
1443,5,2,7,6,6,0,9
1444,6,3,5,9,3,4,5
1445,7,4,4,7,1,0,1
1446,2,0,8,8,5,2,7
1447,3,3,1,8,0,7,8
1448,1,7,2,6,7,0,8
1449,6,9,1,7,1,3,4
1450,0,6,4,8,0,4,6
1451,0,2,4,7,6,1,2
1452,8,7,2,7,2,4,0
1453,1,1,3,7,5,1,8
1454,3,7,1,6,6,4,6
1455,7,9,7,9,4,1,4
1456,2,9,6,6,2,2,7
1457,2,3,5,6,4,2,7
1458,9,6,2,6,3,8,9
1459,3,3,0,9,1,5,6
1460,9,9,6,7,5,3,0
1461,5,1,0,6,8,1,4
1462,8,4,7,7,4,0,2
1463,9,4,1,8,5,6,1
1464,4,0,0,8,3,8,5
1465,1,4,9,6,6,4,2
1466,5,3,5,8,1,0,3
1467,5,7,3,9,3,4,4
1468,7,5,9,7,5,4,6
1469,6,8,7,7,8,3,7
1470,8,3,3,6,7,4,5
1471,9,9,3,9,8,1,5
1472,7,4,0,9,6,7,1
1473,6,9,4,6,7,0,5
1474,8,4,6,6,9,1,6
1475,1,8,9,9,5,0,7
1476,5,2,2,8,0,3,9
1477,3,2,5,9,7,8,2
1478,5,0,9,9,0,8,7
1479,6,9,1,6,8,7,6
1480,3,4,0,6,8,7,5
1481,2,6,9,7,7,2,4
1482,5,9,6,9,6,8,8
1483,7,7,9,7,9,5,4
1484,1,1,1,8,9,2,5
1485,4,7,1,7,5,7,0
1486,1,2,0,9,7,8,2
1487,1,8,2,6,6,0,0
1488,8,6,8,6,2,1,2
1489,6,7,6,9,7,7,1
1490,6,7,7,9,7,0,3
1491,0,4,7,8,6,6,6
1492,7,6,4,7,0,3,9
1493,0,1,0,9,9,6,0
1494,5,3,4,9,4,7,5
1495,9,4,9,7,0,3,2
1496,2,2,6,6,9,6,9
1497,3,7,0,9,7,3,3
1498,3,4,9,7,4,9,2
1499,7,8,0,7,4,4,3
1500,4,0,1,9,3,8,4
1501,1,4,6,6,5,7,8
1502,7,8,6,6,6,0,6
1503,7,1,5,6,1,8,6
1504,7,2,3,6,4,8,0
1505,4,7,0,6,7,0,8
1506,5,2,5,9,9,3,0
1507,2,0,6,8,7,8,0
1508,8,8,9,8,6,5,1
1509,2,5,6,6,5,3,5
1510,6,6,7,9,7,5,4
1511,6,0,8,9,1,6,7
1512,3,6,4,9,9,3,6
1513,6,8,5,7,1,8,6
1514,0,1,4,8,4,6,4
1515,5,3,7,7,5,7,3
1516,0,3,4,6,6,1,3
1517,3,7,4,9,3,5,6
1518,2,1,9,9,8,4,3
1519,3,1,1,7,4,5,7
1520,0,5,3,9,8,2,3
1521,4,6,5,9,2,0,3
1522,9,4,2,8,2,8,5
1523,7,5,5,9,9,6,4
1524,1,5,5,9,7,0,7
1525,3,4,6,8,2,4,7
1526,4,0,4,9,8,9,3
1527,4,8,7,8,4,9,0
1528,6,4,7,7,6,3,0
1529,9,3,5,8,7,1,2
1530,5,8,4,9,8,9,0
1531,4,3,3,7,4,5,2
1532,9,0,2,7,7,4,7
1533,4,0,9,6,6,6,1
1534,5,9,5,6,3,2,0
1535,2,5,8,7,7,9,0
1536,2,5,2,9,6,5,9
1537,3,9,2,7,4,9,3
1538,8,0,0,8,5,5,7
1539,6,1,2,8,0,9,3
1540,0,8,7,8,9,5,2
1541,1,5,3,6,6,5,3
1542,8,3,0,9,0,1,5
1543,0,7,0,6,9,3,1
1544,3,9,5,9,9,2,4
1545,0,1,7,6,9,1,7
1546,9,4,5,9,8,7,8
1547,1,9,1,9,1,1,4
1548,1,9,9,8,2,2,7
1549,0,1,8,8,1,9,9
1550,8,8,1,9,4,5,0
1551,9,1,3,9,5,2,0
1552,7,8,1,8,9,3,6
1553,6,5,4,8,8,1,9
1554,9,2,4,8,6,0,7
1555,3,6,6,6,8,4,6
1556,5,2,2,9,3,5,5
1557,6,0,8,9,7,5,2
1558,2,0,6,9,1,7,2
1559,4,6,7,9,5,5,0
1560,1,3,1,7,0,0,9
1561,4,6,5,9,1,7,6
1562,9,3,5,9,2,7,2
1563,1,3,0,7,9,5,8
1564,4,9,1,8,7,4,1
1565,7,7,3,7,9,1,7
1566,7,5,5,7,9,9,5
1567,7,3,7,7,6,9,6
1568,6,4,7,6,8,7,1
1569,8,0,2,6,9,2,8
1570,7,2,7,8,9,0,2
1571,0,1,9,6,7,0,2
1572,2,9,2,9,3,5,7
1573,0,6,4,8,9,3,2
1574,8,4,4,9,0,2,4
1575,3,7,2,7,9,2,0
1576,4,6,0,9,0,6,1
1577,6,0,1,7,9,5,7
1578,2,6,3,9,4,7,9
1579,2,6,1,6,9,3,1
1580,1,1,2,6,3,0,6
1581,3,6,4,9,4,9,9
1582,2,7,2,6,6,7,9
1583,5,8,7,9,7,3,3
1584,3,0,5,6,8,9,8
1585,1,1,8,8,8,7,2
1586,3,7,7,8,5,5,6
1587,8,5,3,9,1,2,4
1588,7,8,0,8,0,2,8
1589,8,7,4,6,9,5,7
1590,2,9,5,7,7,8,9
1591,5,7,9,7,7,4,3
1592,2,6,2,7,6,8,8
1593,9,6,4,8,4,2,4
1594,5,7,0,7,2,4,6
1595,7,5,8,7,8,7,5
1596,3,4,8,6,0,6,2
1597,9,7,5,7,5,3,8
1598,9,5,1,7,5,6,3
1599,5,3,0,7,4,0,1
1600,9,9,6,7,0,3,7
1601,3,5,5,6,9,7,1
1602,9,5,7,8,4,2,6
1603,0,0,6,9,5,5,8
1604,3,8,5,9,1,3,5
1605,9,3,1,9,1,3,0
1606,9,0,4,6,1,8,9
1607,9,0,2,9,9,1,7
1608,6,2,6,6,5,7,9
1609,6,3,7,9,2,3,0
1610,8,3,3,6,5,8,3
1611,3,0,3,7,7,1,7
1612,4,5,2,7,8,8,0
1613,7,4,3,6,1,7,3
1614,9,3,4,8,3,2,3
1615,9,5,1,6,5,5,9
1616,3,2,3,8,9,0,4
1617,7,8,1,8,1,3,8
1618,6,8,3,8,3,1,9
1619,0,9,2,8,5,1,0
1620,0,5,9,7,5,4,7
1621,5,1,4,8,2,1,5
1622,5,9,7,8,8,3,2
1623,6,2,7,6,6,8,8
1624,1,1,2,6,5,7,1
1625,4,1,2,6,4,2,7
1626,6,9,8,9,5,6,5
1627,7,1,1,8,6,9,3
1628,1,9,8,6,3,6,2
1629,7,6,5,7,3,0,0
1630,6,8,1,9,2,4,5
1631,6,5,4,6,2,2,5
1632,5,5,3,7,2,7,1
1633,6,1,4,9,9,2,1
1634,6,0,9,8,7,8,8
1635,9,8,9,7,4,3,1
1636,5,5,5,6,5,1,0
1637,7,5,5,7,6,3,0
1638,2,8,3,9,0,5,1
1639,6,3,7,9,1,2,3
1640,8,0,0,9,6,3,2
1641,7,5,1,7,7,7,0
1642,3,5,5,7,6,4,8
1643,0,8,6,7,5,3,3
1644,7,0,6,9,7,2,0
1645,8,3,8,7,7,0,4
1646,4,0,4,7,8,7,9
1647,7,3,8,6,1,9,0
1648,9,4,7,6,7,9,3
1649,3,6,6,8,3,8,0
1650,0,6,5,9,9,6,7
1651,2,5,8,8,3,0,1
1652,3,2,5,9,8,4,4
1653,9,5,9,9,7,5,5
1654,5,9,7,9,0,6,7
1655,4,4,2,9,9,1,4
1656,3,8,8,8,1,7,4
1657,4,8,0,7,6,0,0
1658,5,2,2,9,2,5,6
1659,3,6,7,7,9,5,0
1660,5,7,6,9,4,9,5
1661,6,1,4,6,4,4,6
1662,7,8,7,9,8,5,1
1663,8,3,8,9,8,9,4
1664,7,9,5,9,7,9,9
1665,9,2,2,8,6,8,5
1666,7,5,4,7,6,6,9
1667,3,2,5,9,1,6,9
1668,1,1,1,6,9,8,7
1669,7,6,7,8,1,3,0
1670,5,4,6,8,0,9,0
1671,2,1,4,9,7,3,6
1672,0,6,5,9,0,0,0
1673,9,2,6,8,1,3,5
1674,2,4,8,6,2,3,7
1675,9,0,4,6,4,9,0
1676,0,7,7,9,8,4,8
1677,3,8,5,8,8,9,2
1678,9,2,1,9,3,1,7
1679,3,7,5,8,5,0,1
1680,1,4,2,9,2,4,5
1681,2,7,2,8,0,2,7
1682,8,1,1,6,0,1,8
1683,5,9,0,7,1,8,9
1684,9,1,7,8,7,2,3
1685,1,1,4,9,8,9,7
1686,1,7,1,8,7,6,3
1687,8,5,7,7,4,1,0
1688,7,3,5,7,8,1,5
1689,9,4,2,8,2,1,0
1690,0,0,2,6,8,3,5
1691,1,1,7,9,7,2,1
1692,1,7,4,9,2,0,9
1693,7,4,5,8,4,0,9
1694,4,6,6,7,9,4,5
1695,7,6,1,8,8,1,8
1696,4,6,3,6,1,9,3
